id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank,complexity,width,length,depth,weight
373106,Sky Team,2023,34,7.87456,8.14121,25841,0,,,,3,,,14,,2.0408,7.28346,10.0394,1.9685,1.24341
120677,Terra Mystica,2012,35,7.86517,8.03727,50231,0,,,,,,34,,,3.9748,8.93701,12.4409,3.66142,4.73994
192135,Too Many Bones,2017,36,7.8645,8.30377,16212,0,,,,,,29,10,,3.8592,14.5,14.5,3.75,9.4
164928,Orléans,2014,37,7.85955,8.04759,34522,0,,,,,,33,,,3.0153,8.9,12.48,2.87,4.34311
266192,Wingspan,2019,38,7.85674,8.00881,107576,0,,,,6,,47,,,2.4752,11.6142,11.6142,2.95276,5.247
251247,Barrage,2019,39,7.84024,8.14195,20645,0,,,,,,32,,,4.1139,8.85827,12.4016,4.72441,6.00319
96848,Mage Knight Board Game,2011,40,7.83794,8.0788,34676,0,,,,,,38,17,,4.373,9.84,13.9,2.99,4.19
199792,Everdell,2018,41,7.81707,7.99236,64748,0,,,,9,,49,,,2.8275,11.6142,11.6142,2.95276,4.45334
183394,Viticulture Essential Edition,2015,42,7.81525,7.96573,53517,0,,,,,,45,,,2.8956,8.66142,10.6299,4.13386,4.27697
321608,Hegemony: Lead Your Class to Victory,2023,43,7.81517,8.40607,10732,0,,,,,,27,,,4.2398,11.811,11.811,3.93701,7.28407
324856,The Crew: Mission Deep Sea,2021,44,7.81217,8.06586,23487,0,,,,5,,36,,,2.0451,5.07874,7.04724,1.5748,0.78485
366013,Heat: Pedal to the Metal,2022,45,7.79447,8.00891,36164,0,,,,10,,,,,2.2041,11.7323,11.7323,4.09449,5.72981
521,Crokinole,1876,46,7.79289,8.05926,20341,0,,,,7,,,,,1.223,30.7087,30.7087,2.75591,15.4324
285774,Marvel Champions: The Card Game,2019,47,7.7907,8.10969,26760,0,,3,,,,,,,2.949,10.0394,11.6142,3.14961,3.08647
284378,Kanban EV,2020,48,7.78857,8.38159,9535,0,,,,,,28,,,4.3015,12.52,15.51,3.54,7.71618
175914,Food Chain Magnate,2015,49,7.77651,8.03995,22321,0,,,,,,41,,,4.1907,8.7,12.28,2.28,3.94
247763,Underwater Cities,2018,50,7.77503,8.04418,22106,0,,,,,,39,,,3.583,9.2,12.2,2.1,3.74786
256960,Pax Pamir: Second Edition,2019,51,7.76799,8.13313,16729,0,,,,,,40,,,3.8516,8.4,11.5,2.1,4.22626
3076,Puerto Rico,2002,52,7.75651,7.90051,73323,0,,,,,,55,,,3.2682,8.66142,12.2047,2.6378,2.38099
253344,Cthulhu: Death May Die,2019,53,7.7556,8.18326,15883,0,,,,,,,15,,2.4957,12.7165,12.7165,4.72441,6.74615
295947,Cascadia,2021,54,7.74515,7.90484,50992,0,1,,,11,,,,,1.8478,9.44882,9.44882,2.75591,2.31485
383179,Age of Innovation,2023,55,7.74504,8.49832,7499,0,,,,,,30,,,4.2668,11.811,14.3701,3.14961,6.61387
184267,On Mars,2020,56,7.74447,8.16923,14335,0,,,,,,42,,,4.6302,15.5512,12.5984,3.14961,8.08656
